DATE,SAMP,SITE,REP,DIST,DEPTH,CM,TKN,NH4,NO3,INORGN
1986-10-01,1,W,1,B,15,10.16,0.555,9.49,40.2,49.69
1986-10-01,2,W,1,B,30,10.16,0.676,29.85,42.51,72.36
1986-10-01,3,W,1,M,15,60.96,0.342,0.4,4.49,4.89
1986-10-01,4,W,1,M,30,60.96,0.431,1.09,4.49,5.58
1986-10-01,5,W,1,C,15,121.92,0.415,0.2,2.7,2.9
1986-10-01,6,W,1,C,30,121.92,0.348,0.84,2.53,3.37
1986-10-01,7,W,1,I,15,243.84,0.294,0.45,2.1,2.55
1986-10-01,8,W,1,I,30,243.84,0.343,0.25,2.53,2.78
1986-10-01,9,W,2,B,15,0,0.66,1.25,9.59,10.84
1986-10-01,10,W,2,B,30,0,0.641,1.05,6.49,7.54
1986-10-01,11,W,2,M,15,106.68,0.813,3.85,21.75,25.6
1986-10-01,12,W,2,M,30,106.68,0.484,1.04,10.58,11.62
1986-10-01,13,W,2,C,15,213.36,0.585,0.94,8.61,9.55
1986-10-01,14,W,2,C,30,213.36,0.599,0.9,3.93,4.83
1986-10-01,15,W,2,I,15,426.72,0.43,0.59,4,4.59
1986-10-01,16,W,2,I,30,426.72,0.407,0.1,1.49,1.58
1986-10-01,17,W,3,B,15,25.4,0.828,1.29,14.11,15.4
1986-10-01,18,W,3,B,30,25.4,0.698,2.7,14.42,17.12
1986-10-01,19,W,3,M,15,106.68,0.832,4.55,18.25,22.8
1986-10-01,20,W,3,M,30,106.68,0.511,0.6,11.24,11.84
1986-10-01,21,W,3,C,15,213.36,0.43,0.3,4.22,4.52
1986-10-01,22,W,3,C,30,213.36,0.502,1.82,2.61,4.44
1986-10-01,23,W,3,I,15,304.8,0.441,0.25,3.63,3.87
1986-10-01,24,W,3,I,30,304.8,0.362,0.45,1.76,2.21
1986-10-01,25,W,4,B,15,0,1.156,4.63,23.84,28.47
1986-10-01,26,W,4,B,30,0,0.8,3.61,19.95,23.56
1986-10-01,27,W,4,M,15,121.92,1.267,28,64,92
1986-10-01,28,W,4,M,30,121.92,0.738,5.63,29.56,35.19
1986-10-01,29,W,4,C,15,243.84,0.517,2.15,8.26,10.41
1986-10-01,30,W,4,C,30,243.84,0.496,0.8,7.28,8.08
1986-10-01,31,W,4,I,15,487.68,0.329,0.4,2.77,3.17
1986-10-01,32,W,4,I,30,487.68,0.287,0.45,1.4,1.85
1986-10-01,33,L,1,B,15,10.16,0.371,0.8,2.05,2.85
1986-10-01,34,L,1,B,30,10.16,0.37,0.95,2.19,3.13
